,COUNTRIES,Healthcare_2016 ($ per capita),Population_2017,HDI_2016,GINI_year,Unemploy_2016 (%),Combined_2017 (%),ASD_2017 (%),ADHD_2017 (%),DEP_2017 (%),SCZ_2017 (%),ANX_2017 (%),ED_2017 (%),ETOH_2017 (%),SUICIDE_2017 (per 100.000),BD_2017 (%)
1,AUS,4565.873,24585000,0.938,0.33,5.710301,18.3812834362,0.6362445351,2.5306771454,4.6238809861,0.3633263334,6.5843011771,0.943081004,1.5119351423,11.0468849404,1.1420970115
2,AUT,5139.924,8820000,0.906,0.284,6.014071,14.3621360785,0.6247499653,1.0291455466,3.2609699942,0.2569578522,5.3412753953,0.6751119616,1.8240650937,11.2021569903,0.9397941744
3,BEL,4666.226,11420000,0.915,0.266,7.833329,15.0180942245,0.6270042851,1.0340810836,4.1091861548,0.2580726028,5.2126446444,0.6038688957,1.4656385696,14.275318769,0.9471588495
4,CAN,4698.016,36732000,0.922,0.307,6.991667,15.508528659,0.9354863859,1.3818192343,3.9887920735,0.3155881045,5.1782183945,0.4773042772,1.6179370416,10.9051948299,0.7164133538
5,CZE,2627.698,10641000,0.885,0.253,3.952049,11.3507025196,0.4781512595,1.0365472615,2.6753874663,0.2099890618,3.4436009907,0.242372761,2.0971724563,10.7666275634,0.7215695351
6,DNK,4774.269,5732000,0.928,0.263,6.180843,14.2693279617,0.7289829608,1.1611398391,3.2918853248,0.254016903,5.3146345499,0.540025325,1.7307231327,8.8002797464,1.0054935407
7,FIN,4024.49,5511000,0.918,0.259,8.811286,14.8902418052,0.6332739762,1.5210562047,4.7927356063,0.2574443779,3.7520618778,0.5949376269,2.6050609017,12.9449467354,1.0058262568
8,FRA,4844.017,64843000,0.899,0.291,10.05661,16.361245236,0.5818691317,1.0737833252,4.2538072628,0.2562379047,6.6267102113,0.5737552866,1.4189578909,12.400297975,0.9581989776
9,DEU,5550.175,82658000,0.934,0.294,4.122733,15.1776062466,0.6398522986,0.4271855887,3.9598660918,0.2522693135,6.5404958034,0.5220663374,1.8064746829,9.9174170314,0.7767618863
10,GRC,2198.044,10569000,0.868,0.333,23.54104,15.517001365,0.6220077054,1.0219205509,4.1858636992,0.2527008364,5.7902279453,0.5593235698,1.1242569646,3.5062542313,0.9489261067
11,HUN,1965.018,9730000,0.835,0.288,5.119285,11.4123956502,0.4688887668,1.0305108838,2.7652421786,0.205524223,3.4546566254,0.2376863899,2.1073935961,14.2817310305,0.7034354507
12,ISL,3916.333,334000,0.933,0.255,2.968629,14.2126279275,0.6059332969,0.9186699168,3.3616652117,0.2576165352,5.2909878008,0.5580137464,1.2490285925,9.6083352428,0.9711215949
13,IRL,4470.748,4753000,0.934,0.297,8.37511,15.6060996027,0.6694972714,1.1080569888,4.2509209974,0.3280076665,5.8390924847,0.5599946954,2.1098479051,8.3741480781,0.8054319625
14,ITA,3264.368,60674000,0.878,0.328,11.68803,14.8899699846,0.6242815014,1.187025833,3.4642561166,0.2361974523,5.6261210651,0.6267836426,0.4629368554,4.7595847765,0.9462571309
15,JPN,4512.845,127503000,0.907,0.339,3.116667,12.3609159143,0.8481478268,0.6891136944,3.341564631,0.2955777434,3.5690542849,0.4543786087,0.5828795113,15.6479510719,0.6883536082
16,KOR,2678.23,51096000,0.9,0.355,3.675,11.8085065171,0.6582868691,0.6588837811,3.1656839582,0.2639935986,3.7780045481,0.4171034821,2.0200501273,20.8056602706,0.569459331
17,LUX,4785.896,592000,0.904,0.304,6.285928,14.6309888939,0.6276587589,1.0273360494,3.6177186785,0.2636222409,5.3165160352,0.7379165359,1.3532344183,8.7049926039,0.9346808098
18,MEX,1065.875,124777000,0.772,0.458,3.885191,10.8697103818,0.4574169643,0.6579181428,2.7888065701,0.211765456,3.1863264117,0.3169754492,1.7296042544,5.9223876521,0.8189213485
19,NLD,5018.406,17021000,0.928,0.285,6.00791,16.0445936088,0.6982911568,1.0294338318,4.0268544034,0.358487188,6.6202421942,0.4678440988,0.7766024847,9.1691061872,0.9473002678
20,NZL,3662.218,4702000,0.915,0.349,5.1,18.7124207228,0.6258004568,1.9066575163,3.9712653692,0.3410509489,8.5399314968,0.6732900275,2.1934054542,11.2963423597,1.2060879818
21,NOR,5803.702,5296000,0.951,0.262,4.677024,16.1195478965,0.5875293783,0.780681921,3.77191037,0.2114838399,7.5855027602,0.5703626361,1.4190025311,9.2688064679,0.856901351
22,POL,1915.052,37953000,0.86,0.284,6.161703,10.983524423,0.4735394525,1.0344898081,2.2504718928,0.2078099,3.4610750158,0.2294849029,2.044346289,13.9481400147,0.7122644933
23,PRT,2667.691,10289000,0.845,0.331,11.06846,15.3111569041,0.6047065185,1.020027929,4.4214605472,0.2493723527,5.3832606315,0.5130788046,1.2629045289,7.687679698,0.9258145066
24,SVK,2187.367,5448000,0.853,0.241,9.671689,11.0868433214,0.4707288967,1.0318509022,2.4019985472,0.2084189518,3.4442511078,0.2354746722,2.5004818341,9.4748496505,0.7124338302
25,ESP,3105.646,46647000,0.889,0.341,19.63388,16.1766418629,0.6286840174,1.687412147,3.5383592906,0.281538914,5.2802785935,0.7306261886,0.8850033633,5.5065007931,0.9769173255
26,SWE,5048.876,9905000,0.932,0.282,6.991096,15.5630025941,0.6853350476,1.0070551873,4.4879109942,0.2703918248,5.293836611,0.5746082797,1.5865878354,11.0767355283,1.0579298061
27,CHE,6942.187,8456000,0.943,0.296,4.918711,14.8574804285,0.6340955061,1.2011420552,3.7080597373,0.2624869018,5.3593931408,0.5739686951,1.3796903016,9.3160623375,0.9539959074
28,TUR,1126.755,81116000,0.787,0.404,10.83812,14.3051507066,0.3557808045,1.9953047755,3.7186578279,0.2212524162,3.913400441,0.3089411909,0.7780786129,3.310770446,0.8487702802
29,GBR,3833.251,66727000,0.92,0.351,4.809951,14.649797989,0.6752636399,1.0516892814,4.1195239912,0.2629523416,4.6498609311,0.5430536141,1.8970516124,7.3563205517,1.0868375991
30,USA,9903.651,325084992,0.922,0.391,4.866667,17.3435577511,0.7359423594,1.3057577161,4.8356104088,0.3338899424,6.6350550354,0.5128443294,2.0400868929,12.8357566779,0.6512355015
31,CHL,1897.797,18470000,0.842,0.454,6.490013,16.0754862806,0.6411863023,1.6610497479,4.057723142,0.2014303969,6.2720843134,0.4161228571,2.4494702182,10.1389641762,0.7905914166
32,EST,2012.957,1319000,0.868,0.314,6.753039,12.0396861009,0.4642171942,1.0509778991,3.8488542112,0.2039776429,2.9622437654,0.2502707425,4.7136170972,12.738720091,0.7082405618
33,ISR,2551.4,8244000,0.902,0.346,4.808333,12.7166147306,0.5735818845,1.0879258739,3.8322207094,0.2591393307,3.0630780729,0.4611753105,0.4983810947,5.7333380073,0.9248024668
34,SVN,2682.92,2076000,0.894,0.244,8.006598,11.5639021525,0.4832933639,1.0444496063,2.8632776644,0.2118237402,3.449772721,0.2396358281,2.2468269434,14.3787089293,0.7253433069
35,LVA,1582.955,1951000,0.844,0.346,9.641258,11.6333516914,0.4557207875,1.0385200603,3.4995706624,0.1995096013,2.9449498166,0.2252753737,4.4087812358,16.9886737387,0.6963494113
36,LTU,2057.825,2845000,0.855,0.378,7.860914,12.2014310998,0.4563094582,1.0348294698,4.1432544207,0.2009824146,2.9372241655,0.2340949007,4.4280010228,27.9905844218,0.7002779347
